reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
86143f74-0ac6-445f-a89c-9604edce83ca,RAJAN SAINI,https://play-lh.googleusercontent.com/a/ACg8ocJJabiU7iEdkdLda-sQinBdliJvdTodQTAxuuecWA4kRBa3uw=mo,"😊😊🥰😘Meesho is a very user friendly shopping app qite a wide variety of products at affordable prices. I really like the difference and deals available on clothing after 10-15 products, there's no way to go back to the home page directly. I have to use the phone's back button or the top-left arrow, which is frustrating. It's a great platform for budget-friendly 🛒🛍️🛍️",5,0,,2026-06-16 17:36:02,"Hi, Wow, we were blown away by your positive words, we really appreciate the time you took to write such a detailed review! Thanks again!",2026-06-16 17:55:20,
7285d21d-785a-48d6-b34c-482e3f60609c,Rohit Kumar,https://play-lh.googleusercontent.com/a/ACg8ocJU-CFgiRzDrJRwya6N_bbUbwSbORXRy8HM7LVV5ap9zcbUNw=mo,nice app,5,0,,2026-06-16 17:35:42,"Hi, We can’t thank you enough for the kind words about product & service. Your review means a lot to us and lets us know we’re on the right track! Looking forward to seeing you again soon and thanks again!",2026-06-16 17:55:11,
f6a09eec-2307-4a7d-ae2e-50928ea7fd41,Ls Deba Yt,https://play-lh.googleusercontent.com/a-/ALV-UjUmia-kghYXqKWXppgz4ZUUappiFuyT2PDIkWpe0y9oQAIwJIIi,nice app for shopping 🛒,5,0,27.9,2026-06-16 17:32:51,"Hi, We’d just like to thank you for taking the time to write this review of our product and service. Every bit of feedback like this does so much to help us out! Looking forward to seeing you again soon! We’re very grateful for customers like you and hope you stick with us for years to come! Thanks again!",2026-06-16 17:55:27,27.9
ed42d1f7-366e-43d9-a1a7-5c96d7af45c3,komal taneja,https://play-lh.googleusercontent.com/a-/ALV-UjW2iC1BFeYhbW_HcCqueXf1o1z867AdPzHm47DBtC3p3OZenqg,plz cash on delivery solve this problem,5,0,19.8,2026-06-16 17:31:59,"Hi, Wow, we were blown away by your positive words, we really appreciate the time you took to write such a detailed review! Thanks again!",2026-06-16 17:55:15,19.8
02b51292-b030-4f1f-95cf-03df30de605c,Nikhil Kumar Dubey,https://play-lh.googleusercontent.com/a-/ALV-UjXiZKZNAwpbkkhLIpoh7a7MiBHyRlrUEF2qDWVZVb3ShX3TbiPl,good experience,5,0,28.0,2026-06-16 17:26:37,"Hi, Wow, we were blown away by your positive words, we really appreciate the time you took to write such a detailed review! Thanks again!",2026-06-16 17:55:09,28.0
c634285b-9b29-4c1c-b2f5-5279a37987bb,Dilchand Singh,https://play-lh.googleusercontent.com/a-/ALV-UjXs0OYph5xtM28ouxI6X341oTWSgTJliyhnTrINTBB3pwC4ByC9,Nice 👍,5,0,28.1,2026-06-16 17:26:27,"Hi, Thanks so much for your feedback! We’re really glad you enjoyed our product & service; we’ve found it’s a definite customer favorite! Thanks again for the review and for being such a great customer.",2026-06-16 17:55:07,28.1
bb84eb20-02c4-43f1-b68d-970dd9b00adb,Pradip Biswakarma,https://play-lh.googleusercontent.com/a/ACg8ocIiK3P1GovSpyT0HwYCHoe4KcOCocgH2TMFSzn__yWqESrqRg=mo,Nice 👍 👍,5,0,28.1,2026-06-16 17:24:47,"Hi, We’d just like to thank you for taking the time to write this review of our product and service. Every bit of feedback like this does so much to help us out! Looking forward to seeing you again soon! We’re very grateful for customers like you and hope you stick with us for years to come! Thanks again!",2026-06-16 17:55:19,28.1
5c262bf3-8b3a-4854-8154-99ca3d3e7faa,JayShree Radha,https://play-lh.googleusercontent.com/a/ACg8ocI0mcLKpGp-46oJheas6RSLHApaF1J8153g6KQW4Rkwe5_yjw=mo,good,5,0,,2026-06-16 17:22:10,"Hi, We can’t thank you enough for the kind words about product & service. Your review means a lot to us and lets us know we’re on the right track! Looking forward to seeing you again soon and thanks again!",2026-06-16 17:25:26,
66e907d9-f669-4a71-a7b9-6852fee18011,Rohit Singh,https://play-lh.googleusercontent.com/a/ACg8ocJLGVj04v53OyTIaGwxbG6I9NSsDYzhXIHTMmilJVKwzj3yaQ=mo,👌,5,0,,2026-06-16 17:21:40,"Hi, We can’t thank you enough for the kind words about product & service. Your review means a lot to us and lets us know we’re on the right track! Looking forward to seeing you again soon and thanks again!",2026-06-16 17:25:08,
8e52878b-6d7f-4b04-8c33-7160027b0134,Pinki Arwal,https://play-lh.googleusercontent.com/a/ACg8ocKrok7snHi5Ayzw11Tx-8Z_fOE0-jjLw1RuedtDeKzRWAMXOQ=mo,"provide good quality products in minimum price with many payment modes. hey, install now and try a new experience 😃",5,0,28.0,2026-06-16 17:19:16,"Hi, We’d just like to thank you for taking the time to write this review of our product and service. Every bit of feedback like this does so much to help us out! Looking forward to seeing you again soon! We’re very grateful for customers like you and hope you stick with us for years to come! Thanks again!",2026-06-16 17:25:29,28.0
