reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
43f72a70-570d-46f6-b74e-9fb6ff0ab4e5,SHIV SHANKAR KUMAR,https://play-lh.googleusercontent.com/a-/ALV-UjX0zIznwAuyVcQOlqD-heAOvG-eTk1iQjGZG4mlow0OybCi4PMX,no best service,1,0,26.05.08.0,16-06-2026 17:25,,,26.05.08.0
7df65914-2e18-4f64-be9b-525c8e2295b2,Balankalaiah Sangala,https://play-lh.googleusercontent.com/a-/ALV-UjVQrW1pgmoqup8faDAjrhx91C54XMoeYFMJQDPvEoHXUtsA6ks2kg,good,4,0,26.05.22.0,16-06-2026 17:24,Your support means a lot to us. Thanks for the positive review and for being a valued user.,16-06-2026 17:40,26.05.22.0
bc045c04-3c83-434c-80ca-fbb05bec9778,Sima Protra,https://play-lh.googleusercontent.com/a/ACg8ocJfwWFeZBQYRDxevRBfZFoqBX2WLkpmxRKXNo74xRWIda9nXA=mo,good,5,0,26.05.22.0,16-06-2026 17:23,We're glad to hear you had a great experience. Thank you for taking the time to rate us and share your feedback.,16-06-2026 17:40,26.05.22.0
e037f023-9616-4467-8b4a-682302aa66fa,Shivansh Tiwari,https://play-lh.googleusercontent.com/a-/ALV-UjXViMIpx4wuwufY18cIO3zcOD2RqR2HC4ZOgrl-F2D3mXXiY9A,bad,1,0,26.05.08.0,16-06-2026 17:23,,,26.05.08.0
cd940f0f-f2ac-42e5-8940-ab8427f3b1b1,Shekar Shekar,https://play-lh.googleusercontent.com/a-/ALV-UjV5F1LSdfVlbTfeiurX4rWfzPPObvSle_3Whb6r9M9mHVDhVu19,extent,5,0,26.05.08.0,16-06-2026 17:23,,,26.05.08.0
bd354847-5a4a-4d10-a8c9-47a8d34f6894,Vinay Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjVeo2SuT904BPPN-5Nq61weMhUDx305E6yFoeWnmg3zY6bSqP1_,Gambling ad very high,2,0,26.05.08.0,16-06-2026 17:17,,,26.05.08.0
4410613f-482d-42bf-ad29-16c393a69588,Rambabu v Rambabu v,https://play-lh.googleusercontent.com/a/ACg8ocKy5Ge_zBjwiN0AarBMf7huLa5JBuARFcckyv3Xbh_Jn4FRhg=mo,super,5,0,26.05.08.0,16-06-2026 17:16,We're thrilled to know you're enjoying the experience. Thank you for your encouragement and for choosing us.,16-06-2026 17:40,26.05.08.0
da437866-6bf3-4cdb-aa1e-ef83c17f463b,Asraful Ali,https://play-lh.googleusercontent.com/a/ACg8ocKjIK4GxPLDJPLoWeboh4COdLRzEaZjw5Q7x9AZV3xYup2tPA=mo,asrafulali,1,0,26.05.08.0,16-06-2026 17:13,"Thanks for the kind words! We noticed your rating seems lower than your feedback. If this was unintentional, we’d really appreciate you updating it. 🙂",16-06-2026 17:40,26.05.08.0
32c74664-e4b0-4d87-b9e1-2581176b2f60,Rahul Rahul,https://play-lh.googleusercontent.com/a/ACg8ocJvRjQHfaM2w3B0xWDctoN2bY_SK2KCgoJqfkUoxwShVf2avQ=mo,good,4,0,26.05.08.0,16-06-2026 17:12,We're glad to hear you had a great experience. Thank you for taking the time to rate us and share your feedback.,16-06-2026 17:40,26.05.08.0
ef89dbc6-4a24-4a46-b8ff-09a8b5f740f5,Santoa Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjXS1OUGMF0jk01hPalfNQamu_eSfuX1qHLXZLwR9a9MmwXcR7qD,Good work,5,0,26.02.27.0,16-06-2026 17:09,Your support means a lot to us. Thanks for the positive review and for being a valued user.,16-06-2026 17:40,26.02.27.0
d220112c-b48b-4891-9ff3-dbf2e122b127,Jadeja Pravinsinh,https://play-lh.googleusercontent.com/a/ACg8ocJ5MQSMsvG9sDf52Rx0Ybupnwl5d4p1XuY1S370d9oTRpsptg=mo,safe and secure,4,0,26.05.22.0,16-06-2026 17:05,We're thrilled to know you're enjoying the experience. Thank you for your encouragement and for choosing us.,16-06-2026 17:10,26.05.22.0
4e019a7e-14c3-4117-982b-67b195bad328,Mahindra Kumar,https://play-lh.googleusercontent.com/a/ACg8ocIuBBKuZDASzv7LHhmeEjQD8lQAdI3DqRBd1Dahjr4by8w6Eg=mo,good 👍,5,0,26.05.22.0,16-06-2026 17:03,Your support means a lot to us. Thanks for the positive review and for being a valued user.,16-06-2026 17:10,26.05.22.0
7883b5ca-3274-4b6a-92a9-c6dacb876b29,PINKI BHANDARY,https://play-lh.googleusercontent.com/a/ACg8ocLhsVztNchyxivulcarTEELJHTuemz6xS3_8bWM-8bmHWHq7w=mo,good experience,4,0,26.05.22.0,16-06-2026 17:01,Thank you for your support! We're delighted to know you're enjoying the app. Your feedback motivates us to keep improving.,16-06-2026 17:10,26.05.22.0
5fe5321c-76db-4dc7-b87f-63da05a1de78,Mukesh,https://play-lh.googleusercontent.com/a/ACg8ocLvByKx-T9TqCgFkuW3LKHLh4j8Umu74R0vcVRjLkLGXzkaow=mo,lovely,5,0,26.05.22.0,16-06-2026 16:58,We're glad to hear you had a great experience. Thank you for taking the time to rate us and share your feedback.,16-06-2026 17:10,26.05.22.0
